Generation, ID,x1, y1, z1, power1, velocity1, x2, y2, z2, power2, velocity2, x3, y3, z3, power3, velocity3, fitness(distance from start), parent1, parent2
0.000000000000000000e+00,7.200000000000000000e+01,5.872700594236812677e-01,8.753571532049581050e-01,7.659969709057026233e-01,1.973169683940732000e+00,5.780093202212182923e+00,4.779972601681013455e-01,4.290418060840997527e-01,8.330880728874676677e-01,2.022300234864176094e+00,8.540362888980226330e+00,4.102922471479012456e-01,8.849549260809972395e-01,8.162213204002108924e-01,-5.753217786434476899e+00,5.909124836035503314e+00,7.308024291890770741e+00,nan,nan
0.000000000000000000e+00,7.300000000000000000e+01,4.917022549267169307e-01,5.521211214797688838e-01,6.623782158161188871e-01,-1.361099627157684733e+00,6.456145700990209235e+00,7.059264473611897017e-01,4.697469303260209395e-01,5.460723242676090994e-01,-2.672763134126165951e+00,7.280349921085179865e+00,7.925879806965068219e-01,4.998368910791798903e-01,6.571172192068057694e-01,1.848291377240849354e+00,5.232252063599988290e+00,6.969873983992147970e+00,nan,nan
0.000000000000000000e+00,7.400000000000000000e+01,7.037724259507192048e-01,4.852620618436457867e-01,4.325257964926397802e-01,8.977710745066664444e+00,9.828160165372796797e+00,8.041986740582305337e-01,5.523068845866854204e-01,4.488360570031919572e-01,3.684660530243137888e+00,7.200762468698006735e+00,4.610191174223894350e-01,6.475884550556351149e-01,4.171942605576092200e-01,8.186408041575640837e+00,6.293899908000084586e+00,6.591584112929876227e+00,nan,nan
0.000000000000000000e+00,7.500000000000000000e+01,7.312611421769910081e-01,5.558555380447054439e-01,6.600340105889054287e-01,9.342055868655929629e-01,5.924272277627634864e+00,8.847923138822793021e-01,7.875664116805572990e-01,8.697494707820945248e-01,7.896547008552976976e+00,7.989499894055425600e+00,8.609371175115584363e-01,4.442462510259597708e-01,4.979914312095726214e-01,-9.095454221789239568e+00,6.626651653816321819e+00,5.499243077647768985e+00,nan,nan
0.000000000000000000e+00,7.600000000000000000e+01,5.943386448447409709e-01,5.356745158869480328e-01,8.143687545759646929e-01,-2.864933466128214423e+00,6.404672548436903590e+00,6.713480415791241995e-01,4.704621124873813454e-01,8.010984903770198562e-01,-8.508987126404583989e+00,9.934434683002585587e+00,7.861223846483287314e-01,4.993578407670862251e-01,4.027610585618012218e-01,6.309228569096683614e+00,8.534286719238085794e+00,5.190155124930718067e+00,nan,nan
0.000000000000000000e+00,7.700000000000000000e+01,7.645035840204936761e-01,7.856351733429729478e-01,4.370223258670452027e-01,-2.830685429114547791e+00,5.579345297625648570e+00,8.315517129377967276e-01,7.116490634137789817e-01,5.654490124263246154e-01,-8.728832994279526858e+00,6.554911608578311011e+00,5.625916610133735452e-01,7.648030891690320576e-01,7.187787356776065284e-01,7.744254851526530814e+00,7.361074625809746586e+00,4.784616518466298096e+00,nan,nan
0.000000000000000000e+00,7.800000000000000000e+01,4.597971229691508732e-01,7.566223936114975235e-01,7.803925243084487429e-01,1.225543951389924668e+00,8.854835899772805163e+00,6.468977981821953938e-01,6.613664146909969954e-01,6.137705091792748924e-01,-9.491617465118096675e+00,5.539457134966522034e+00,4.157145928433671478e-01,7.182052056318901645e-01,5.571779905381633036e-01,1.714138232940554118e-01,9.537832369630464768e+00,4.377552244317257646e+00,nan,nan
0.000000000000000000e+00,7.900000000000000000e+01,5.246461145744374388e-01,6.051914615178148882e-01,7.777755692715243585e-01,-5.424036690167550745e+00,5.384899549143964848e+00,5.448757264568839798e-01,4.806106436270022320e-01,8.648488261712865555e-01,6.162407591288339148e+00,8.167018782552117884e+00,8.357302950938588770e-01,8.018360384495573090e-01,4.932850294430179416e-01,7.851179969799555458e+00,7.696711209578253943e+00,4.313617933894160927e+00,nan,nan
0.000000000000000000e+00,8.000000000000000000e+01,8.037200775820312337e-01,8.480456499617465838e-01,5.590017374859319599e-01,-7.798961509446464824e+00,6.139675812709707969e+00,6.135538943131282341e-01,8.090073829612465239e-01,8.303652916281717422e-01,-9.860957389376185489e+00,7.553736512887828880e+00,6.087055015743895181e-01,5.110539052353650913e-01,4.599326836668414242e-01,-3.247696571927440878e+00,9.714548519562596240e+00,3.592504689055580958e+00,nan,nan
0.000000000000000000e+00,8.100000000000000000e+01,5.616014660103776368e-01,6.593953108716830158e-01,7.515094794475889461e-01,-2.727407952414120373e+00,9.858910413604803580e+00,8.812236474710556378e-01,5.258911479126820998e-01,6.486242529461927475e-01,-3.982433803664606753e+00,6.424202471887338284e+00,4.184434736772664198e-01,7.047821669899484442e-01,6.513395116144307107e-01,-8.970424975000213408e+00,6.393232321183057287e+00,3.557476703303578791e+00,nan,nan
0.000000000000000000e+00,8.200000000000000000e+01,8.541329429833268705e-01,5.197809453334862884e-01,4.724474360456115685e-01,-2.109447944487397031e-01,9.928252270553002745e+00,5.210276357557501736e-01,7.360677737029392986e-01,7.808098076643588126e-01,-5.247249120152006618e+00,8.641081743059297438e+00,5.838915663596266903e-01,7.161529152967898160e-01,7.167648553804473188e-01,7.154936814951695645e-01,5.451448850272041291e+00,3.374423896740810225e+00,nan,nan
0.000000000000000000e+00,8.300000000000000000e+01,8.176512477946189517e-01,5.603900324858679394e-01,4.932592551999271380e-01,-9.184497168904721676e+00,7.954464715941209185e+00,7.387821809211412294e-01,4.082939144639280982e-01,6.560465291496404561e-01,-5.470084496041240918e+00,8.225863952047248517e+00,4.871832145024957428e-01,7.454688690512329963e-01,5.933676731502687263e-01,8.734599774734689959e+00,5.687604720729966701e+00,3.213011735431266835e+00,nan,nan
0.000000000000000000e+00,8.400000000000000000e+01,5.705331755251292769e-01,4.567367606202945574e-01,8.623468091392814117e-01,7.546787067619620260e+00,6.289708138575777596e+00,7.299920230170895419e-01,8.086111001006079935e-01,6.776004057997311314e-01,5.930115671201297012e-01,6.209261454502258637e+00,4.465513839029496279e-01,8.486078789766633435e-01,8.502090285816652493e-01,2.662029145465358848e+00,6.695148955243503508e+00,3.022117398413469047e+00,nan,nan
0.000000000000000000e+00,8.500000000000000000e+01,5.746047873063304667e-01,7.629778394351196535e-01,8.485551299762885691e-01,7.741728485302346030e+00,8.899377729288119099e+00,7.210158230771439580e-01,4.420699824975244385e-01,4.808143570473069062e-01,7.971083770541584457e+00,8.032145298297949765e+00,4.045985258083148461e-01,4.507357714330160747e-01,7.317508845540279250e-01,-9.898768323075625375e+00,5.804040257087493160e+00,3.016556888127701175e+00,nan,nan
0.000000000000000000e+00,8.600000000000000000e+01,6.743668946832930278e-01,7.459475988463466489e-01,7.259806297513002882e-01,-5.514613810788803860e+00,8.560896106737679645e+00,5.186245437484000576e-01,5.626998490796338848e-01,7.732457025590120381e-01,2.992657980944293250e+00,9.246117052470889774e+00,7.288064461501717606e-01,6.841543016677358313e-01,4.468373839140462600e-01,-2.645683938811329572e+00,6.326011838408627241e+00,2.918789076727457577e+00,nan,nan
0.000000000000000000e+00,8.700000000000000000e+01,5.219948216895418103e-01,8.865052773762227556e-01,5.965488623333802254e-01,7.840931103542265745e+00,8.155693129986314460e+00,7.974056517708242309e-01,6.513185465525961337e-01,6.884519423131796323e-01,-1.496461236227220049e-01,5.976214938990222159e+00,7.612260576307526838e-01,5.403861812204279191e-01,4.121579832157269419e-01,2.909445918143356291e+00,5.885553397035244494e+00,2.862589722104853518e+00,nan,nan
0.000000000000000000e+00,8.800000000000000000e+01,8.702292921764571698e-01,8.769642885012937095e-01,8.574321951102242823e-01,-2.596825994891112099e+00,5.077283082644337142e+00,8.641592812938627688e-01,6.140920741586571863e-01,8.833274095218348609e-01,9.272399541785055987e+00,9.265047277336801557e+00,5.472244460347928108e-01,5.925488643009626522e-01,8.255683357584284732e-01,-3.661559896874446718e+00,5.847463733430462440e+00,2.780291832806982555e+00,nan,nan
0.000000000000000000e+00,8.900000000000000000e+01,6.784006312291750440e-01,8.680773870803905057e-01,7.480148983374865779e-01,1.401223401787299316e+00,5.485882468853843008e+00,7.075036133495848922e-01,8.950269250521316611e-01,4.700420076182620366e-01,3.665930472747347402e-01,9.386865359639777751e+00,7.703843088771022973e-01,7.485078704976340092e-01,7.512420419935545990e-01,-2.810176975604896654e+00,6.467959221322466590e+00,2.690808161918661234e+00,nan,nan
0.000000000000000000e+00,9.000000000000000000e+01,8.046805777392568304e-01,8.050566973395903991e-01,8.335361592900518701e-01,8.264811051129425934e+00,7.556711994304689206e+00,6.507581473435998243e-01,7.991475894833875993e-01,7.249819653888825988e-01,4.039337545154067399e+00,8.978963347180505039e+00,8.450026709087832266e-01,5.689975784257679248e-01,5.877914763199720838e-01,-8.120361203182620002e+00,7.891400704980870096e+00,2.673133084307534713e+00,nan,nan
0.000000000000000000e+00,9.100000000000000000e+01,4.179711368983710651e-01,6.327990090662301004e-01,6.713223173537883337e-01,-4.269174957434311857e+00,7.954166302845053771e+00,4.152501249695247365e-01,4.186740943746072308e-01,8.113002803298291488e-01,-2.796187171774742186e+00,5.635302563259424247e+00,6.611216300274022073e-01,7.849967765493054417e-01,5.079105137484216659e-01,2.457809516380005110e+00,5.426737324968840426e+00,2.571872440442428687e+00,nan,nan
0.000000000000000000e+00,9.200000000000000000e+01,4.258408605843038708e-01,6.656773157840740751e-01,6.703175608050533363e-01,2.748598029964131051e+00,8.630456668613307514e+00,8.879260397312673803e-01,6.581501741505977332e-01,5.614782364706230045e-01,5.903723895374072939e+00,6.354161256310371542e+00,6.194857103528180753e-01,4.392281906711330008e-01,4.126753717077287775e-01,9.252968293558501145e+00,9.179900602561030354e+00,2.562082821893219009e+00,nan,nan
0.000000000000000000e+00,9.300000000000000000e+01,7.479871030468490112e-01,6.044764722071349627e-01,4.866471600354229099e-01,-6.871259146578278632e+00,6.251214490822976089e+00,6.746133323530603132e-01,7.572979613500312457e-01,7.300986883588655996e-01,-4.401322061081143211e+00,9.774326403315971135e+00,7.689484583478842783e-01,6.771770262557004205e-01,7.058603731171761986e-01,-1.607998751444201790e+00,6.238654947505787085e+00,2.406306345847756489e+00,nan,nan
0.000000000000000000e+00,9.400000000000000000e+01,5.779863393256308157e-01,7.789230552321846357e-01,4.071967443148779564e-01,-7.678547189861674838e+00,5.230013210108763744e+00,4.203644011594850904e-01,8.277302920055036317e-01,7.518289296900118046e-01,-5.165234182534961249e-01,5.489170803255007058e+00,6.458079375584162563e-01,6.367358853902829186e-01,4.866009349550076135e-01,-1.322967015240539279e+00,6.992523671986867306e+00,2.386206109407396525e+00,nan,nan
