8.594874126015501492e-01,9.715639256113823841e-01,3.999078950581232972e-01,5.393146612262018635e+00,1.898608605923909121e+00,5.179382657437741955e+00,3.319325783424949439e+00,3.355801549348724322e+00,0.000000000000000000e+00
2.157020690425715870e+00,2.368595110343840293e+00,3.089176969830768282e+00,2.593062590246281718e-01,4.119537359612250427e+00,3.262643492874278017e+00,2.777366209026379984e+00,1.890781610854047834e+00,1.000000000000000000e+00
2.116346136078536944e+00,3.025308593126728951e+00,1.539149817000704745e+00,3.242007164948148557e+00,3.942892410363953992e+00,1.317026553596307714e+00,1.019873336332418612e+00,2.232801169220102189e+00,2.000000000000000000e+00
8.403383326193716307e-01,2.273180931986552356e+00,2.466056349186402485e+00,5.833963349626070105e+00,6.939173889940873918e-01,4.454934484266111383e+00,1.901114318412531867e+00,2.276830687448065049e+00,3.000000000000000000e+00
2.236818180358835395e+00,3.864663452605611837e+00,7.010823092959315161e-01,2.300866236198760184e+00,1.340777876667496482e+00,6.136268563831102085e+00,5.680122334295353959e+00,2.311844230309390458e+00,4.000000000000000000e+00
1.818192468456391708e+00,4.470532234706115382e+00,2.097533644249610418e+00,6.379160080897271712e+00,4.218326466180632117e+00,5.318114615019959857e-01,2.485715415001022777e+00,2.872054272317855261e+00,5.000000000000000000e+00
2.060041476193896770e+00,3.253791286501426239e+00,7.483761532438232278e-01,3.091485278867132980e+00,1.931947206596098088e+00,2.340062987961518459e+00,1.153547074742753642e+00,3.252231276080747691e+00,6.000000000000000000e+00
2.805192105705837768e+00,1.460687418392448533e+00,2.951969811316139225e+00,3.345544312016038635e+00,1.277023783099856091e+00,1.484715989886764120e+00,3.194834365332917869e+00,5.552703434610528177e+00,7.000000000000000000e+00
3.250832803954788019e+00,2.620714780309183922e+00,2.469447435161602922e+00,4.079893938724500124e+00,3.780605808740271634e+00,1.258897893109357069e+00,6.054155389956135558e+00,4.969614762200150082e+00,8.000000000000000000e+00
2.986210394620929520e+00,2.984806200498127726e+00,3.112504019803756794e+00,9.722893564842887137e-01,9.472623246819097398e-01,3.597589572887760490e+00,3.180467572173002466e+00,3.173509169845777578e+00,9.000000000000000000e+00
